employee_id,monthly_salary,month_year
1,33993,2024-03-01
1,37121,2024-04-01
1,37121,2024-05-01
1,37121,2024-06-01
1,37121,2024-07-01
1,37121,2024-08-01
1,37121,2024-09-01
1,37121,2024-10-01
1,37121,2024-11-01
1,37121,2024-12-01
1,38605,2025-01-01
1,38605,2025-02-01
1,38605,2025-03-01
1,42157,2025-04-01
1,42157,2025-05-01
1,42157,2025-06-01
1,42157,2025-07-01
1,42157,2025-08-01
1,42157,2025-09-01
1,42157,2025-10-01
1,42157,2025-11-01
1,42157,2025-12-01
1,43843,2026-01-01
1,43843,2026-02-01
1,43843,2026-03-01
1,47877,2026-04-01
2,38605,2025-10-01
2,38605,2025-11-01
2,38605,2025-12-01
2,40150,2026-01-01
2,40150,2026-02-01
2,40150,2026-03-01
2,40150,2026-04-01
3,35353,2025-05-01
3,38605,2025-06-01
3,38605,2025-07-01
3,38605,2025-08-01
3,38605,2025-09-01
3,38605,2025-10-01
3,38605,2025-11-01
3,38605,2025-12-01
3,40150,2026-01-01
3,40150,2026-02-01
3,40150,2026-03-01
3,40150,2026-04-01
4,35353,2025-08-01
4,38605,2025-09-01
4,38605,2025-10-01
4,38605,2025-11-01
4,38605,2025-12-01
4,40150,2026-01-01
4,40150,2026-02-01
4,40150,2026-03-01
4,40150,2026-04-01
5,31429,2022-09-01
5,34320,2022-10-01
5,34320,2022-11-01
5,34320,2022-12-01
5,35693,2023-01-01
5,35693,2023-02-01
5,35693,2023-03-01
5,35693,2023-04-01
5,35693,2023-05-01
5,35693,2023-06-01
5,35693,2023-07-01
5,35693,2023-08-01
5,35693,2023-09-01
5,38977,2023-10-01
5,38977,2023-11-01
5,38977,2023-12-01
5,40536,2024-01-01
5,40536,2024-02-01
5,40536,2024-03-01
5,40536,2024-04-01
6,35353,2025-01-01
6,38605,2025-02-01
6,38605,2025-03-01
6,38605,2025-04-01
6,38605,2025-05-01
6,38605,2025-06-01
6,38605,2025-07-01
6,38605,2025-08-01
6,38605,2025-09-01
6,38605,2025-10-01
6,38605,2025-11-01
6,38605,2025-12-01
6,40150,2026-01-01
6,43843,2026-02-01
6,43843,2026-03-01
6,43843,2026-04-01
7,36767,2026-02-01
7,40150,2026-03-01
7,40150,2026-04-01
8,31068,2025-06-01
8,33926,2025-07-01
8,33926,2025-08-01
8,33926,2025-09-01
8,33926,2025-10-01
8,33926,2025-11-01
8,33926,2025-12-01
8,35283,2026-01-01
8,35283,2026-02-01
8,35283,2026-03-01
8,35283,2026-04-01
9,30220,2021-03-01
9,33000,2021-04-01
9,33000,2021-05-01
9,33000,2021-06-01
9,33000,2021-07-01
9,33000,2021-08-01
9,33000,2021-09-01
9,33000,2021-10-01
9,33000,2021-11-01
9,33000,2021-12-01
9,34320,2022-01-01
9,34320,2022-02-01
9,34320,2022-03-01
9,37477,2022-04-01
9,37477,2022-05-01
9,37477,2022-06-01
9,37477,2022-07-01
9,37477,2022-08-01
9,37477,2022-09-01
9,37477,2022-10-01
9,37477,2022-11-01
9,37477,2022-12-01
9,38977,2023-01-01
9,38977,2023-02-01
9,38977,2023-03-01
9,42562,2023-04-01
9,42562,2023-05-01
9,42562,2023-06-01
9,42562,2023-07-01
9,42562,2023-08-01
9,42562,2023-09-01
9,42562,2023-10-01
9,42562,2023-11-01
9,42562,2023-12-01
9,44265,2024-01-01
9,44265,2024-02-01
9,44265,2024-03-01
9,42972,2024-04-01
9,42972,2024-05-01
9,42972,2024-06-01
9,42972,2024-07-01
9,42972,2024-08-01
9,42972,2024-09-01
9,42972,2024-10-01
9,42972,2024-11-01
9,42972,2024-12-01
9,44690,2025-01-01
9,44690,2025-02-01
9,44690,2025-03-01
9,44690,2025-04-01
9,44690,2025-05-01
9,44690,2025-06-01
9,44690,2025-07-01
9,44690,2025-08-01
9,44690,2025-09-01
9,44690,2025-10-01
9,44690,2025-11-01
9,44690,2025-12-01
9,46478,2026-01-01
9,46478,2026-02-01
9,46478,2026-03-01
9,46478,2026-04-01
10,35353,2025-06-01
10,38605,2025-07-01
10,38605,2025-08-01
10,38605,2025-09-01
10,38605,2025-10-01
10,38605,2025-11-01
10,38605,2025-12-01
10,40150,2026-01-01
10,40150,2026-02-01
10,40150,2026-03-01
10,40150,2026-04-01
11,33993,2024-08-01
11,37121,2024-09-01
11,37121,2024-10-01
11,37121,2024-11-01
11,37121,2024-12-01
11,38605,2025-01-01
11,38605,2025-02-01
