order_id,product_id,quantity,service_type,service_price,employee_id,order_date
1000,4,1,None,0,0,2022-01-02 08:16:00
1001,34,2,None,0,0,2022-01-02 15:33:00
1002,22,1,None,0,0,2022-01-03 18:24:00
1003,8,1,None,0,0,2022-01-12 12:32:00
1004,5,2,Záruka +1,845,16,2022-01-13 15:31:00
1005,34,1,None,0,0,2022-01-13 17:28:00
1006,14,1,None,0,0,2022-01-13 20:58:00
1007,4,1,None,0,0,2022-01-14 15:10:00
1008,33,1,None,0,0,2022-01-15 09:35:00
1009,4,2,None,0,0,2022-01-15 19:06:00
1010,2,2,None,0,0,2022-01-15 19:26:00
1011,8,1,Záruka +1,891,11,2022-01-16 08:36:00
1012,22,2,None,0,0,2022-01-18 14:24:00
1013,26,2,None,0,0,2022-01-19 17:17:00
1014,42,2,Záruka +1,2071,6,2022-01-22 14:18:00
1015,35,1,None,0,0,2022-01-22 20:53:00
1016,40,2,None,0,0,2022-01-24 08:32:00
1017,28,1,None,0,0,2022-01-27 13:10:00
1018,12,2,None,0,0,2022-01-27 17:15:00
1019,48,1,None,0,0,2022-02-03 17:03:00
1020,45,1,None,0,0,2022-02-05 12:35:00
1021,2,1,None,0,0,2022-02-06 10:03:00
1022,36,1,None,0,0,2022-02-06 20:03:00
1023,34,2,None,0,0,2022-02-07 08:18:00
1024,38,2,None,0,0,2022-02-07 19:04:00
1025,26,1,None,0,0,2022-02-08 12:37:00
1026,48,1,None,0,0,2022-02-14 12:05:00
1027,42,1,Záruka +3,6214,9,2022-02-14 14:37:00
1028,20,2,None,0,0,2022-02-14 15:40:00
1029,33,1,None,0,0,2022-02-15 08:20:00
1030,18,2,None,0,0,2022-02-15 11:17:00
1031,28,2,None,0,0,2022-02-16 20:11:00
1032,18,1,None,0,0,2022-02-16 20:57:00
1033,37,1,None,0,0,2022-02-17 18:39:00
1034,17,2,None,0,0,2022-02-18 11:51:00
1035,10,2,Záruka +3,2361,20,2022-02-19 18:14:00
1036,49,2,None,0,0,2022-02-19 19:39:00
1037,11,2,None,0,0,2022-02-21 10:34:00
1038,34,1,None,0,0,2022-02-21 14:17:00
1039,3,2,None,0,0,2022-02-21 15:33:00
1040,20,1,None,0,0,2022-02-23 15:00:00
1041,31,2,None,0,0,2022-02-24 15:34:00
1042,31,1,None,0,0,2022-02-26 21:09:00
1043,29,2,None,0,0,2022-02-28 19:22:00
1044,12,2,None,0,0,2022-03-02 19:37:00
1045,39,2,None,0,0,2022-03-06 15:55:00
1046,21,1,None,0,0,2022-03-09 12:23:00
1047,35,1,None,0,0,2022-03-12 12:56:00
1048,8,2,None,0,0,2022-03-14 14:12:00
1049,27,1,None,0,0,2022-03-15 10:33:00
1050,31,2,None,0,0,2022-03-15 14:57:00
1051,3,2,None,0,0,2022-03-15 19:53:00
1052,36,1,None,0,0,2022-03-21 08:17:00
1053,6,1,Záruka +3,2883,6,2022-03-23 12:50:00
1054,34,2,None,0,0,2022-03-23 14:56:00
1055,16,2,None,0,0,2022-03-27 13:49:00
1056,40,1,Záruka +3,1780,0,2022-03-27 14:34:00
1057,34,1,None,0,0,2022-03-28 11:01:00
1058,34,1,None,0,0,2022-04-01 17:43:00
1059,31,1,None,0,0,2022-04-01 17:54:00
1060,37,2,None,0,0,2022-04-01 18:22:00
1061,12,2,None,0,0,2022-04-01 20:17:00
1062,21,1,None,0,0,2022-04-02 11:44:00
1063,37,1,None,0,0,2022-04-04 14:57:00
1064,13,1,None,0,0,2022-04-04 17:32:00
1065,16,2,None,0,0,2022-04-10 12:29:00
1066,16,2,None,0,0,2022-04-11 10:07:00
1067,41,2,Záruka +3,4148,15,2022-04-11 10:20:00
1068,1,1,None,0,0,2022-04-11 12:00:00
1069,6,1,Pojištění,1922,11,2022-04-15 11:39:00
1070,11,2,None,0,0,2022-04-15 15:05:00
1071,46,1,None,0,0,2022-04-18 14:49:00
1072,23,1,Pojištění,2264,17,2022-04-19 17:31:00
1073,3,1,None,0,0,2022-04-21 08:28:00
1074,48,1,Záruka +1,589,20,2022-04-22 12:43:00
1075,3,1,None,0,0,2022-04-22 16:30:00
1076,13,1,None,0,0,2022-04-24 08:41:00
1077,5,2,None,0,0,2022-04-24 09:15:00
1078,22,1,None,0,0,2022-04-27 09:34:00
1079,45,2,None,0,0,2022-04-27 13:18:00
1080,13,1,None,0,0,2022-04-28 11:28:00
1081,47,1,None,0,0,2022-04-28 15:05:00
1082,17,1,None,0,0,2022-04-28 17:50:00
1083,5,2,None,0,0,2022-05-02 19:44:00
1084,38,1,None,0,0,2022-05-04 11:53:00
1085,1,2,Pojištění,2887,11,2022-05-04 18:55:00
1086,13,2,Pojištění,1029,12,2022-05-07 09:15:00
1087,17,2,None,0,0,2022-05-08 13:57:00
1088,18,1,None,0,0,2022-05-09 15:45:00
1089,15,1,None,0,0,2022-05-10 08:31:00
1090,15,2,None,0,0,2022-05-10 20:52:00
1091,14,1,None,0,0,2022-05-12 10:02:00
1092,8,2,Záruka +3,2672,2,2022-05-13 21:00:00
1093,5,2,Záruka +3,2536,0,2022-05-15 10:44:00
1094,44,2,None,0,0,2022-05-16 10:12:00
1095,13,2,None,0,0,2022-05-16 11:35:00
1096,7,1,None,0,0,2022-05-16 18:57:00
1097,2,1,None,0,0,2022-05-16 19:13:00
1098,43,2,Záruka +3,4696,0,2022-05-17 12:55:00
1099,3,1,None,0,0,2022-05-20 08:47:00
1100,48,1,None,0,0,2022-05-20 12:20:00
1101,7,2,None,0,0,2022-05-20 13:58:00
1102,6,1,None,0,0,2022-05-20 15:58:00
1103,30,2,None,0,0,2022-05-22 10:29:00
1104,3,1,None,0,0,2022-05-23 08:19:00
1105,17,2,None,0,0,2022-05-23 10:41:00
1106,24,2,Záruka +1,1737,20,2022-05-24 13:58:00
1107,27,1,None,0,0,2022-05-24 14:55:00
1108,9,1,Pojištění,2347,13,2022-05-25 18:00:00
1109,7,1,None,0,0,2022-05-28 08:34:00
1110,18,2,None,0,0,2022-05-28 18:56:00
1111,1,1,None,0,0,2022-06-01 12:12:00
1112,7,1,None,0,0,2022-06-01 14:37:00
1113,22,2,None,0,0,2022-06-01 19:22:00
1114,35,1,Záruka +3,6062,15,2022-06-02 09:34:00
1115,19,2,None,0,0,2022-06-02 11:41:00
1116,14,1,None,0,0,2022-06-04 20:01:00
1117,44,1,Záruka +1,1069,19,2022-06-05 08:56:00
1118,48,1,None,0,0,2022-06-05 12:45:00
1119,45,1,None,0,0,2022-06-07 20:01:00
1120,12,1,Záruka +1,1313,1,2022-06-07 21:57:00
1121,46,1,None,0,0,2022-06-08 11:26:00
1122,7,2,None,0,0,2022-06-11 10:09:00
1123,8,2,None,0,0,2022-06-11 15:13:00
1124,36,2,None,0,0,2022-06-12 18:47:00
1125,32,1,None,0,0,2022-06-13 10:38:00
1126,27,1,Záruka +3,2619,1,2022-06-15 09:27:00
1127,12,1,None,0,0,2022-06-15 21:33:00
1128,48,1,Záruka +3,1768,2,2022-06-16 16:52:00
1129,32,2,None,0,0,2022-06-17 12:04:00
1130,46,2,None,0,0,2022-06-17 16:19:00
1131,48,1,Záruka +3,1768,19,2022-06-19 08:22:00
1132,3,2,None,0,0,2022-06-19 11:29:00
1133,42,2,None,0,0,2022-06-24 08:34:00
1134,15,1,None,0,0,2022-06-25 16:02:00
1135,29,1,None,0,0,2022-06-27 18:33:00
1136,29,1,None,0,0,2022-07-02 16:34:00
1137,27,1,None,0,0,2022-07-03 17:02:00
1138,24,2,None,0,0,2022-07-04 15:39:00
1139,29,2,Záruka +1,753,0,2022-07-04 18:39:00
1140,4,2,Pojištění,3417,0,2022-07-05 12:31:00
1141,34,2,None,0,0,2022-07-05 15:09:00
1142,50,1,Pojištění,1570,0,2022-07-05 17:26:00
1143,38,2,None,0,0,2022-07-06 09:41:00
1144,49,1,None,0,0,2022-07-06 10:59:00
1145,32,2,None,0,0,2022-07-06 13:31:00
1146,27,1,None,0,0,2022-07-10 13:13:00
1147,3,1,None,0,0,2022-07-13 11:50:00
1148,7,2,None,0,0,2022-07-13 15:08:00
1149,40,2,None,0,0,2022-07-14 16:16:00
